06.01.2009 03:40:00,998.34,-14.30,258.98,-16.08,86.20,2.01,1.73,0.28,1.08,1.74,1342.63,1.42,2.88,346.80
06.01.2009 03:50:00,998.34,-14.26,259.02,-15.99,86.60,2.02,1.75,0.27,1.09,1.75,1342.42,1.85,2.38,350.90
06.01.2009 04:00:00,998.24,-14.29,259.00,-16.03,86.50,2.01,1.74,0.27,1.09,1.74,1342.44,1.83,2.75,355.00
06.01.2009 04:10:00,998.25,-14.39,258.90,-16.11,86.60,2.00,1.73,0.27,1.08,1.73,1342.99,1.70,2.50,351.50
06.01.2009 04:20:00,998.34,-14.47,258.81,-16.17,86.80,1.98,1.72,0.26,1.07,1.72,1343.52,1.40,2.38,355.40
06.01.2009 04:30:00,998.17,-14.60,258.70,-16.28,86.90,1.96,1.70,0.26,1.06,1.71,1343.98,1.25,2.25,342.30
06.01.2009 04:40:00,998.10,-14.73,258.57,-16.41,86.90,1.94,1.69,0.25,1.05,1.69,1344.57,1.24,2.50,11.40
06.01.2009 04:50:00,998.19,-14.90,258.39,-16.53,87.20,1.91,1.67,0.24,1.04,1.67,1345.58,0.91,2.13,14.31
06.01.2009 05:00:00,998.14,-15.13,258.17,-16.75,87.30,1.88,1.64,0.24,1.02,1.64,1346.73,1.08,2.50,13.16
06.01.2009 05:10:00,998.22,-15.20,258.09,-16.69,88.20,1.87,1.65,0.22,1.03,1.65,1347.19,2.40,3.50,4.70
06.01.2009 05:20:00,998.24,-15.16,258.13,-16.62,88.50,1.87,1.66,0.22,1.03,1.66,1347.01,2.16,3.13,1.04
06.01.2009 05:30:00,998.25,-15.25,258.04,-16.66,88.80,1.86,1.65,0.21,1.03,1.65,1347.50,1.74,3.00,2.45
06.01.2009 05:40:00,998.22,-15.31,257.98,-16.70,89.00,1.85,1.65,0.20,1.03,1.65,1347.78,1.59,2.63,6.51
06.01.2009 05:50:00,998.21,-15.29,258.00,-16.65,89.20,1.85,1.65,0.20,1.03,1.66,1347.66,1.61,2.88,16.12
06.01.2009 06:00:00,998.22,-15.37,257.92,-16.73,89.20,1.84,1.64,0.20,1.02,1.64,1348.09,0.76,2.00,47.73
06.01.2009 06:10:00,998.22,-15.49,257.80,-16.87,89.00,1.82,1.62,0.20,1.01,1.62,1348.74,0.86,2.38,24.59
06.01.2009 06:20:00,998.26,-15.73,257.56,-17.18,88.50,1.79,1.58,0.21,0.99,1.58,1350.06,0.57,1.25,56.56
